Year,Reporter,Reporter Code,Partner,Partner Code,Commodity Code,Export,Import,World Exports,World Imports,Reporter_std,Partner_std,RTA_Name,Date of Entry into Force (G),Original signatories,Coverage,RTA Composition,Signatory1,Signatory2,Signatory1_std,Signatory2_std,Agreement Year,Total Partner Trade,Total World Trade,Agreement_Index,key,country,date,GDP,country_std,key_un
2000.0,Bahrain,48.0,USA,842.0,TOTAL,375457101.0,197965803.0,6194679351.0,4633587880.0,Bahrain,United States,United States - Bahrain,2006-08-01,"Bahrain, Kingdom of; United States of America",Goods & Services,Bilateral,"Bahrain, Kingdom of",United States of America,Bahrain,United States,2006.0,573422904.0,10828267231.0,-6.0,Bahrain-United States,Bahrain,2000,9062898936.17021,Bahrain,Bahrain-USA
2000.0,Belarus,112.0,Ukraine,804.0,TOTAL,559727900.0,340572500.0,7331059000.0,8646200000.0,Belarus,Ukraine,Ukraine - Belarus,2006-11-11,Belarus; Ukraine,Goods,Bilateral,Belarus,Ukraine,Belarus,Ukraine,2006.0,900300400.0,15977259000.0,-6.0,Belarus-Ukraine,Belarus,2000,12736856827.9847,Belarus,Belarus-Ukraine
2000.0,Bolivia (Plurinational State of),68.0,Mexico,484.0,TOTAL,6785993.0,48155817.0,1472403785.0,2020310594.0,Bolivia,Mexico,"Mexico - Bolivia, Plurinational State of ",2010-06-07,"Bolivia, Plurinational State of; Mexico",Goods,Bilateral,"Bolivia, Plurinational State of",Mexico,Bolivia,Mexico,2010.0,54941810.0,3492714379.0,-10.0,Bolivia-Mexico,Bolivia,2000,8397912525.26886,Bolivia,Bolivia (Plurinational State of)-Mexico
2000.0,Brazil,76.0,Mexico,484.0,TOTAL,1709783257.0,808224057.0,54993153735.0,60045621239.0,Brazil,Mexico,Brazil - Mexico ,2003-05-02,Brazil; Mexico,Goods,Bilateral,Brazil,Mexico,Brazil,Mexico,2003.0,2518007314.0,115038774974.0,-3.0,Brazil-Mexico,Brazil,2000,655448188237.371,Brazil,Brazil-Mexico
2000.0,Bulgaria,100.0,Albania,8.0,TOTAL,24196157.0,73988.0,4821843864.0,6504688325.0,Bulgaria,Albania,Albania - Bulgaria,2003-09-01,Albania; Bulgaria,Goods,Bilateral,Bulgaria,Albania,Bulgaria,Albania,2003.0,24270145.0,11326532189.0,-3.0,Bulgaria-Albania,Bulgaria,2000,13245834314.5104,Bulgaria,Bulgaria-Albania
2000.0,Bulgaria,100.0,Bosnia Herzegovina,70.0,TOTAL,9027190.0,260457.0,4821843864.0,6504688325.0,Bulgaria,Bosnia and Herzegovina,Bulgaria - Bosnia and Herzegovina,2004-12-01,Bosnia and Herzegovina; Bulgaria,Goods,Bilateral,Bulgaria,Bosnia and Herzegovina,Bulgaria,Bosnia and Herzegovina,2004.0,9287647.0,11326532189.0,-4.0,Bulgaria-Bosnia and Herzegovina,Bulgaria,2000,13245834314.5104,Bulgaria,Bulgaria-Bosnia Herzegovina
2000.0,Bulgaria,100.0,Estonia,233.0,TOTAL,3980743.0,229983.0,4821843864.0,6504688325.0,Bulgaria,Estonia,Bulgaria - Estonia,2002-01-01,Bulgaria; Estonia,Goods,Bilateral,Bulgaria,Estonia,Bulgaria,Estonia,2002.0,4210726.0,11326532189.0,-2.0,Bulgaria-Estonia,Bulgaria,2000,13245834314.5104,Bulgaria,Bulgaria-Estonia
2000.0,Bulgaria,100.0,Israel,376.0,TOTAL,32477089.0,10884909.0,4821843864.0,6504688325.0,Bulgaria,Israel,Bulgaria - Israel,2002-01-01,Bulgaria; Israel,Goods,Bilateral,Bulgaria,Israel,Bulgaria,Israel,2002.0,43361998.0,11326532189.0,-2.0,Bulgaria-Israel,Bulgaria,2000,13245834314.5104,Bulgaria,Bulgaria-Israel
2000.0,Bulgaria,100.0,Latvia,428.0,TOTAL,6525251.0,547572.0,4821843864.0,6504688325.0,Bulgaria,Latvia,Bulgaria - Latvia,2003-04-01,Bulgaria; Latvia,Goods,Bilateral,Bulgaria,Latvia,Bulgaria,Latvia,2003.0,7072823.0,11326532189.0,-3.0,Bulgaria-Latvia,Bulgaria,2000,13245834314.5104,Bulgaria,Bulgaria-Latvia
2000.0,Bulgaria,100.0,Lithuania,440.0,TOTAL,5851071.0,2524728.0,4821843864.0,6504688325.0,Bulgaria,Lithuania,Bulgaria - Lithuania,2002-03-01,Bulgaria; Lithuania,Goods,Bilateral,Bulgaria,Lithuania,Bulgaria,Lithuania,2002.0,8375799.0,11326532189.0,-2.0,Bulgaria-Lithuania,Bulgaria,2000,13245834314.5104,Bulgaria,Bulgaria-Lithuania
